book	chapter	verse	syriac_text	transliteration
Matthew	1	23	ܕܗܐ ܒܬܘܠܬܐ ܬܒܛܢ ܘܬܐܠܕ ܒܪܐ ܘܢܩܪܘܢ ܫܡܗ ܥܡܢܘܐܝܠ ܕܡܬܬܪܓܡ ܥܡܢ ܐܠܗܢ	DH> BTWLT> TBVN WT>LD BR> WNQRWN CMH <MNW>JL DMTTRGM <MN >LHN
Matthew	1	24	ܟܕ ܩܡ ܕܝܢ ܝܘܣܦ ܡܢ ܫܢܬܗ ܥܒܕ ܐܝܟܢܐ ܕܦܩܕ ܠܗ ܡܠܐܟܗ ܕܡܪܝܐ ܘܕܒܪܗ ܠܐܢܬܬܗ	KD QM DJN JWSP MN CNTH <BD >JKN> DPQD LH ML>KH DMRJ> WDBRH L>NTTH
Matthew	1	25	ܘܠܐ ܚܟܡܗ ܥܕܡܐ ܕܝܠܕܬܗ ܠܒܪܗ ܒܘܟܪܐ ܘܩܪܬ ܫܡܗ ܝܫܘܥ	WL> XKMH <DM> DJLDTH LBRH BWKR> WQRT CMH JCW<
Matthew	2	1	ܟܕ ܕܝܢ ܐܬܝܠܕ ܝܫܘܥ ܒܒܝܬ-ܠܚܡ ܕܝܗܘܕܐ ܒܝܘܡܝ ܗܪܘܕܣ ܡܠܟܐ ܐܬܘ ܡܓܘܫܐ ܡܢ ܡܕܢܚܐ ܠܐܘܪܫܠܡ	KD DJN >TJLD JCW< BBJT-LXM DJHWD> BJWMJ HRWDS MLK> >TW MGWC> MN MDNX> L>WRCLM
Matthew	2	2	ܘܐܡܪܝܢ ܐܝܟܘ ܡܠܟܐ ܕܝܗܘܕܝܐ ܕܐܬܝܠܕ ܚܙܝܢ ܓܝܪ ܟܘܟܒܗ ܒܡܕܢܚܐ ܘܐܬܝܢ ܠܡܣܓܕ ܠܗ	W>MRJN >JKW MLK> DJHWDJ> D>TJLD XZJN GJR KWKBH BMDNX> W>TJN LMSGD LH
Matthew	2	3	ܫܡܥ ܕܝܢ ܗܪܘܕܣ ܡܠܟܐ ܘܐܬܬܙܝܥ ܘܟܠܗ ܐܘܪܫܠܡ ܥܡܗ	CM< DJN HRWDS MLK> W>TTZJ< WKLH >WRCLM <MH
Matthew	2	4	ܘܟܢܫ ܟܠܗܘܢ ܪܒܝ ܟܗܢܐ ܘܣܦܪܐ ܕܥܡܐ ܘܡܫܐܠ ܗܘܐ ܠܗܘܢ ܕܐܝܟܐ ܡܬܝܠܕ ܡܫܝܚܐ	WKNC KLHWN RBJ KHN> WSPR> D<M> WMC>L HW> LHWN D>JK> MTJLD MCJX>
Matthew	2	5	ܗܢܘܢ ܕܝܢ ܐܡܪܘ ܒܒܝܬ-ܠܚܡ ܕܝܗܘܕܐ ܗܟܢܐ ܓܝܪ ܟܬܝܒ ܒܢܒܝܐ	HNWN DJN >MRW BBJT-LXM DJHWD> HKN> GJR KTJB BNBJ>
Matthew	2	6	ܐܦ ܐܢܬܝ ܒܝܬ-ܠܚܡ ܕܝܗܘܕܐ ܠܐ ܗܘܝܬܝ ܒܨܝܪܐ ܒܡܠܟܐ ܕܝܗܘܕܐ ܡܢܟܝ ܓܝܪ ܢܦܘܩ ܡܠܟܐ ܕܗܘ ܢܪܥܝܘܗܝ ܠܥܡܝ ܐܝܣܪܐܝܠ	>P >NTJ BJT-LXM DJHWD> L> HWJTJ BYJR> BMLK> DJHWD> MNKJ GJR NPWQ MLK> DHW NR<JWHJ L<MJ >JSR>JL
Matthew	2	7	ܗܝܕܝܢ ܗܪܘܕܣ ܡܛܫܝܐܝܬ ܩܪܐ ܠܡܓܘܫܐ ܘܝܠܦ ܡܢܗܘܢ ܒܐܝܢܐ ܙܒܢܐ ܐܬܚܙܝ ܠܗܘܢ ܟܘܟܒܐ	HJDJN HRWDS MVCJ>JT QR> LMGWC> WJLP MNHWN B>JN> ZBN> >TXZJ LHWN KWKB>
Matthew	2	8	ܘܫܕܪ ܐܢܘܢ ܠܒܝܬ-ܠܚܡ ܘܐܡܪ ܠܗܘܢ ܙܠܘ ܥܩܒܘ ܥܠ ܛܠܝܐ ܚܦܝܛܐܝܬ ܘܡܐ ܕܐܫܟܚܬܘܢܝܗܝ ܬܘ ܚܘܐܘܢܝ ܕܐܦ ܐܢܐ ܐܙܠ ܐܣܓܘܕ ܠܗ	WCDR >NWN LBJT-LXM W>MR LHWN ZLW <QBW <L VLJ> XPJV>JT WM> D>CKXTWNJHJ TW XW>WNJ D>P >N> >ZL >SGWD LH
Matthew	2	9	ܗܢܘܢ ܕܝܢ ܟܕ ܫܡܥܘ ܡܢ ܡܠܟܐ ܐܙܠܘ ܘܗܐ ܟܘܟܒܐ ܗܘ ܕܚܙܘ ܒܡܕܢܚܐ ܐܙܠ ܗܘܐ ܩܕܡܝܗܘܢ ܥܕܡܐ ܕܐܬܐ ܩܡ ܠܥܠ ܡܢ ܐܝܟܐ ܕܐܝܬܘܗܝ ܛܠܝܐ	HNWN DJN KD CM<W MN MLK> >ZLW WH> KWKB> HW DXZW BMDNX> >ZL HW> QDMJHWN <DM> D>T> QM L<L MN >JK> D>JTWHJ VLJ>
Matthew	2	10	ܟܕ ܕܝܢ ܚܙܐܘܗܝ ܠܟܘܟܒܐ ܚܕܝܘ ܚܕܘܬܐ ܪܒܬܐ ܕܛܒ	KD DJN XZ>WHJ LKWKB> XDJW XDWT> RBT> DVB
Matthew	2	11	ܘܥܠܘ ܠܒܝܬܐ ܘܚܙܐܘܗܝ ܠܛܠܝܐ ܥܡ ܡܪܝܡ ܐܡܗ ܘܢܦܠܘ ܣܓܕܘ ܠܗ ܘܦܬܚܘ ܣܝܡܬܗܘܢ ܘܩܪܒܘ ܠܗ ܩܘܪܒܢܐ ܕܗܒܐ ܘܡܘܪܐ ܘܠܒܘܢܬܐ	W<LW LBJT> WXZ>WHJ LVLJ> <M MRJM >MH WNPLW SGDW LH WPTXW SJMTHWN WQRBW LH QWRBN> DHB> WMWR> WLBWNT>
Matthew	2	12	ܘܐܬܚܙܝ ܠܗܘܢ ܒܚܠܡܐ ܕܠܐ ܢܗܦܟܘܢ ܠܘܬ ܗܪܘܕܣ ܘܒܐܘܪܚܐ ܐܚܪܬܐ ܐܙܠܘ ܠܐܬܪܗܘܢ	W>TXZJ LHWN BXLM> DL> NHPKWN LWT HRWDS WB>WRX> >XRT> >ZLW L>TRHWN
Matthew	2	13	ܟܕ ܕܝܢ ܐܙܠܘ ܐܬܚܙܝ ܡܠܐܟܐ ܕܡܪܝܐ ܒܚܠܡܐ ܠܝܘܣܦ ܘܐܡܪ ܠܗ ܩܘܡ ܕܒܪ ܠܛܠܝܐ ܘܠܐܡܗ ܘܥܪܘܩ ܠܡܨܪܝܢ ܘܬܡܢ ܗܘܝ ܥܕܡܐ ܕܐܡܪ ܐܢܐ ܠܟ ܥܬܝܕ ܗܘ ܓܝܪ ܗܪܘܕܣ ܠܡܒܥܝܗ ܠܛܠܝܐ ܐܝܟ ܕܢܘܒܕܝܘܗܝ	KD DJN >ZLW >TXZJ ML>K> DMRJ> BXLM> LJWSP W>MR LH QWM DBR LVLJ> WL>MH W<RWQ LMYRJN WTMN HWJ <DM> D>MR >N> LK <TJD HW GJR HRWDS LMB<JH LVLJ> >JK DNWBDJWHJ
Matthew	2	14	ܝܘܣܦ ܕܝܢ ܩܡ ܫܩܠܗ ܠܛܠܝܐ ܘܠܐܡܗ ܒܠܠܝܐ ܘܥܪܩ ܠܡܨܪܝܢ	JWSP DJN QM CQLH LVLJ> WL>MH BLLJ> W<RQ LMYRJN
Matthew	2	15	ܘܗܘܐ ܬܡܢ ܥܕܡܐ ܠܡܘܬܗ ܕܗܪܘܕܣ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܡܢ ܡܪܝܐ ܒܢܒܝܐ ܕܐܡܪ ܕܡܢ ܡܨܪܝܢ ܩܪܝܬ ܠܒܪܝ	WHW> TMN <DM> LMWTH DHRWDS DNTML> MDM D>T>MR MN MRJ> BNBJ> D>MR DMN MYRJN QRJT LBRJ
Matthew	2	16	ܗܝܕܝܢ ܗܪܘܕܣ ܟܕ ܚܙܐ ܕܐܬܒܙܚ ܡܢ ܡܓܘܫܐ ܐܬܚܡܬ ܛܒ ܘܫܕܪ ܩܛܠ ܛܠܝܐ ܟܠܗܘܢ ܕܒܝܬ-ܠܚܡ ܘܕܟܠܗܘܢ ܬܚܘܡܝܗ ܡܢ ܒܪ ܬܪܬܝܢ ܫܢܝܢ ܘܠܬܚܬ ܐܝܟ ܙܒܢܐ ܕܥܩܒ ܡܢ ܡܓܘܫܐ	HJDJN HRWDS KD XZ> D>TBZX MN MGWC> >TXMT VB WCDR QVL VLJ> KLHWN DBJT-LXM WDKLHWN TXWMJH MN BR TRTJN CNJN WLTXT >JK ZBN> D<QB MN MGWC>
Matthew	2	17	ܗܝܕܝܢ ܐܬܡܠܝ ܡܕܡ ܕܐܬܐܡܪ ܒܝܕ ܐܪܡܝܐ ܢܒܝܐ ܕܐܡܪ	HJDJN >TMLJ MDM D>T>MR BJD >RMJ> NBJ> D>MR
Matthew	2	18	ܩܠܐ ܐܫܬܡܥ ܒܪܡܬܐ ܒܟܝܐ ܘܐܠܝܐ ܣܓܝܐܐ ܪܚܝܠ ܒܟܝܐ ܥܠ ܒܢܝܗ ܘܠܐ ܨܒܝܐ ܠܡܬܒܝܐܘ ܡܛܠ ܕܠܐ ܐܝܬܝܗܘܢ	QL> >CTM< BRMT> BKJ> W>LJ> SGJ>> RXJL BKJ> <L BNJH WL> YBJ> LMTBJ>W MVL DL> >JTJHWN
Matthew	2	19	ܟܕ ܡܝܬ ܕܝܢ ܗܪܘܕܣ ܡܠܟܐ ܐܬܚܙܝ ܡܠܐܟܐ ܕܡܪܝܐ ܒܚܠܡܐ ܠܝܘܣܦ ܒܡܨܪܝܢ	KD MJT DJN HRWDS MLK> >TXZJ ML>K> DMRJ> BXLM> LJWSP BMYRJN
Matthew	2	20	ܘܐܡܪ ܠܗ ܩܘܡ ܕܒܪ ܠܛܠܝܐ ܘܠܐܡܗ ܘܙܠ ܠܐܪܥܐ ܕܐܝܣܪܐܝܠ ܡܝܬܘ ܠܗܘܢ ܓܝܪ ܗܢܘܢ ܕܒܥܝܢ ܗܘܘ ܢܦܫܗ ܕܛܠܝܐ	W>MR LH QWM DBR LVLJ> WL>MH WZL L>R<> D>JSR>JL MJTW LHWN GJR HNWN DB<JN HWW NPCH DVLJ>
Matthew	2	21	ܘܝܘܣܦ ܩܡ ܕܒܪ ܠܛܠܝܐ ܘܠܐܡܗ ܘܐܬܐ ܠܐܪܥܐ ܕܐܝܣܪܐܝܠ	WJWSP QM DBR LVLJ> WL>MH W>T> L>R<> D>JSR>JL
Matthew	2	22	ܟܕ ܕܝܢ ܫܡܥ ܕܐܪܟܠܐܘܣ ܗܘܐ ܡܠܟܐ ܒܝܗܘܕ ܚܠܦ ܗܪܘܕܣ ܐܒܘܗܝ ܕܚܠ ܕܢܐܙܠ ܠܬܡܢ ܘܐܬܚܙܝ ܠܗ ܒܚܠܡܐ ܕܢܐܙܠ ܠܐܬܪܐ ܕܓܠܝܠܐ	KD DJN CM< D>RKL>WS HW> MLK> BJHWD XLP HRWDS >BWHJ DXL DN>ZL LTMN W>TXZJ LH BXLM> DN>ZL L>TR> DGLJL>
Matthew	2	23	ܘܐܬܐ ܥܡܪ ܒܡܕܝܢܬܐ ܕܡܬܩܪܝܐ ܢܨܪܬ ܐܝܟ ܕܢܬܡܠܐ ܡܕܡ ܕܐܬܐܡܪ ܒܢܒܝܐ ܕܢܨܪܝܐ ܢܬܩܪܐ	W>T> <MR BMDJNT> DMTQRJ> NYRT >JK DNTML> MDM D>T>MR BNBJ> DNYRJ> NTQR>
Matthew	3	1	ܒܗܘܢ ܕܝܢ ܒܝܘܡܬܐ ܗܢܘܢ ܐܬܐ ܝܘܚܢܢ ܡܥܡܕܢܐ ܘܡܟܪܙ ܗܘܐ ܒܚܘܪܒܐ ܕܝܗܘܕ	BHWN DJN BJWMT> HNWN >T> JWXNN M<MDN> WMKRZ HW> BXWRB> DJHWD
Matthew	3	2	ܘܐܡܪ ܬܘܒܘ ܩܪܒܬ ܠܗ ܡܠܟܘܬܐ ܕܫܡܝܐ	W>MR TWBW QRBT LH MLKWT> DCMJ>
Matthew	3	3	ܗܢܘ ܓܝܪ ܗܘ ܕܐܡܝܪ ܒܝܕ ܐܫܥܝܐ ܢܒܝܐ ܩܠܐ ܕܩܪܐ ܒܚܘܪܒܐ ܛܝܒܘ ܐܘܪܚܗ ܕܡܪܝܐ ܘܐܫܘܘ ܠܫܒܝܠܘܗܝ	HNW GJR HW D>MJR BJD >C<J> NBJ> QL> DQR> BXWRB> VJBW >WRXH DMRJ> W>CWW LCBJLWHJ
Matthew	3	4	ܗܘ ܕܝܢ ܝܘܚܢܢ ܐܝܬܘܗܝ ܗܘܐ ܠܒܘܫܗ ܕܣܥܪܐ ܕܓܡܠܐ ܘܐܣܪ ܚܨܐ ܕܡܫܟܐ ܥܠ ܚܨܘܗܝ ܘܡܐܟܘܠܬܗ ܩܡܨܐ ܘܕܒܫܐ ܕܒܪܐ	HW DJN JWXNN >JTWHJ HW> LBWCH DS<R> DGML> W>SR XY> DMCK> <L XYWHJ WM>KWLTH QMY> WDBC> DBR>
Matthew	3	5	ܗܝܕܝܢ ܢܦܩܐ ܗܘܬ ܠܘܬܗ ܐܘܪܫܠܡ ܘܟܠܗ ܝܗܘܕ ܘܟܠܗ ܐܬܪܐ ܕܚܕܪܝ ܝܘܪܕܢܢ	HJDJN NPQ> HWT LWTH >WRCLM WKLH JHWD WKLH >TR> DXDRJ JWRDNN
Matthew	3	6	ܘܥܡܕܝܢ ܗܘܘ ܡܢܗ ܒܝܘܪܕܢܢ ܢܗܪܐ ܟܕ ܡܘܕܝܢ ܒܚܛܗܝܗܘܢ	W<MDJN HWW MNH BJWRDNN NHR> KD MWDJN BXVHJHWN
Matthew	3	7	ܟܕ ܚܙܐ ܕܝܢ ܣܓܝܐܐ ܡܢ ܦܪܝܫܐ ܘܡܢ ܙܕܘܩܝܐ ܕܐܬܝܢ ܠܡܥܡܕ ܐܡܪ ܠܗܘܢ ܝܠܕܐ ܕܐܟܕܢܐ ܡܢܘ ܚܘܝܟܘܢ ܠܡܥܪܩ ܡܢ ܪܘܓܙܐ ܕܐܬܐ	KD XZ> DJN SGJ>> MN PRJC> WMN ZDWQJ> D>TJN LM<MD >MR LHWN JLD> D>KDN> MNW XWJKWN LM<RQ MN RWGZ> D>T>
Matthew	3	8	ܥܒܕܘ ܗܟܝܠ ܦܐܪܐ ܕܫܘܝܢ ܠܬܝܒܘܬܐ	<BDW HKJL P>R> DCWJN LTJBWT>
Matthew	3	9	ܘܠܐ ܬܣܒܪܘܢ ܘܬܐܡܪܘܢ ܒܢܦܫܟܘܢ ܕܐܒܐ ܐܝܬ ܠܢ ܐܒܪܗܡ ܐܡܪ ܐܢܐ ܠܟܘܢ ܓܝܪ ܕܡܫܟܚ ܐܠܗܐ ܡܢ ܗܠܝܢ ܟܐܦܐ ܠܡܩܡܘ ܒܢܝܐ ܠܐܒܪܗܡ	WL> TSBRWN WT>MRWN BNPCKWN D>B> >JT LN >BRHM >MR >N> LKWN GJR DMCKX >LH> MN HLJN K>P> LMQMW BNJ> L>BRHM
Matthew	3	10	ܗܐ ܕܝܢ ܢܪܓܐ ܣܝܡ ܥܠ ܥܩܪܐ ܕܐܝܠܢܐ ܟܠ ܐܝܠܢܐ ܗܟܝܠ ܕܦܐܪܐ ܛܒܐ ܠܐ ܥܒܕ ܡܬܦܣܩ ܘܢܦܠ ܒܢܘܪܐ	H> DJN NRG> SJM <L <QR> D>JLN> KL >JLN> HKJL DP>R> VB> L> <BD MTPSQ WNPL BNWR>
Matthew	3	11	ܐܢܐ ܡܥܡܕ ܐܢܐ ܠܟܘܢ ܒܡܝܐ ܠܬܝܒܘܬܐ ܗܘ ܕܝܢ ܕܒܬܪܝ ܐܬܐ ܚܣܝܢ ܗܘ ܡܢܝ ܗܘ ܕܠܐ ܫܘܐ ܐܢܐ ܡܣܢܘܗܝ ܠܡܫܩܠ ܗܘ ܡܥܡܕ ܠܟܘܢ ܒܪܘܚܐ ܕܩܘܕܫܐ ܘܒܢܘܪܐ	>N> M<MD >N> LKWN BMJ> LTJBWT> HW DJN DBTRJ >T> XSJN HW MNJ HW DL> CW> >N> MSNWHJ LMCQL HW M<MD LKWN BRWX> DQWDC> WBNWR>
Matthew	3	12	ܗܘ ܕܪܦܫܐ ܒܐܝܕܗ ܘܡܕܟܐ ܐܕܪܘܗܝ ܘܚܛܐ ܟܢܫ ܠܐܘܨܪܘܗܝ ܘܬܒܢܐ ܡܘܩܕ ܒܢܘܪܐ ܕܠܐ ܕܥܟܐ	HW DRPC> B>JDH WMDK> >DRWHJ WXV> KNC L>WYRWHJ WTBN> MWQD BNWR> DL> D<K>
Matthew	3	13	ܗܝܕܝܢ ܐܬܐ ܝܫܘܥ ܡܢ ܓܠܝܠܐ ܠܝܘܪܕܢܢ ܠܘܬ ܝܘܚܢܢ ܕܢܥܡܕ ܡܢܗ	HJDJN >T> JCW< MN GLJL> LJWRDNN LWT JWXNN DN<MD MNH
Matthew	3	14	ܗܘ ܕܝܢ ܝܘܚܢܢ ܟܠܐ ܗܘܐ ܠܗ ܘܐܡܪ ܐܢܐ ܣܢܝܩ ܐܢܐ ܕܡܢܟ ܐܬܥܡܕ ܘܐܢܬ ܠܘܬܝ ܐܬܝܬ	HW DJN JWXNN KL> HW> LH W>MR >N> SNJQ >N> DMNK >T<MD W>NT LWTJ >TJT
Matthew	3	15	ܗܘ ܕܝܢ ܝܫܘܥ ܥܢܐ ܘܐܡܪ ܠܗ ܫܒܘܩ ܗܫܐ ܗܟܢܐ ܓܝܪ ܝܐܐ ܠܢ ܕܢܡܠܐ ܟܠܗ ܟܐܢܘܬܐ ܘܗܝܕܝܢ ܫܒܩܗ	HW DJN JCW< <N> W>MR LH CBWQ HC> HKN> GJR J>> LN DNML> KLH K>NWT> WHJDJN CBQH
Matthew	3	16	ܟܕ ܥܡܕ ܕܝܢ ܝܫܘܥ ܡܚܕܐ ܣܠܩ ܡܢ ܡܝܐ ܘܐܬܦܬܚܘ ܠܗ ܫܡܝܐ ܘܚܙܐ ܪܘܚܐ ܕܐܠܗܐ ܕܢܚܬܐ ܐܝܟ ܝܘܢܐ ܘܐܬܬ ܥܠܘܗܝ	KD <MD DJN JCW< MXD> SLQ MN MJ> W>TPTXW LH CMJ> WXZ> RWX> D>LH> DNXT> >JK JWN> W>TT <LWHJ
Matthew	3	17	ܘܗܐ ܩܠܐ ܡܢ ܫܡܝܐ ܕܐܡܪ ܗܢܘ ܒܪܝ ܚܒܝܒܐ ܕܒܗ ܐܨܛܒܝܬ	WH> QL> MN CMJ> D>MR HNW BRJ XBJB> DBH >YVBJT
Matthew	4	1	ܗܝܕܝܢ ܝܫܘܥ ܐܬܕܒܪ ܡܢ ܪܘܚܐ ܕܩܘܕܫܐ ܠܡܕܒܪܐ ܕܢܬܢܣܐ ܡܢ ܐܟܠܩܪܨܐ	HJDJN JCW< >TDBR MN RWX> DQWDC> LMDBR> DNTNS> MN >KLQRY>
