book	chapter	verse	greek_text	lemmatized_text
Matthew	1	11	Ἰωσίας δὲ ἐγέννησεν τὸν Ἰεχονίαν καὶ τοὺς ἀδελφοὺς αὐτοῦ ἐπὶ τῆς μετοικεσίας Βαβυλῶνος.	Ἰωσίας δέ γεννάω ὁ Ἰεχονίας καί ὁ ἀδελφός αὐτός ἐπί ὁ μετοικεσία Βαβυλών
Matthew	1	12	Μετὰ δὲ τὴν μετοικεσίαν Βαβυλῶνος Ἰεχονίας ἐγέννησεν τὸν Σαλαθιήλ, Σαλαθιὴλ δὲ ἐγέννησεν τὸν Ζοροβαβέλ,	μετά δέ ὁ μετοικεσία Βαβυλών Ἰεχονίας γεννάω ὁ Σαλαθιήλ Σαλαθιήλ δέ γεννάω ὁ Ζοροβαβέλ
Matthew	1	13	Ζοροβαβὲλ δὲ ἐγέννησεν τὸν Ἀβιούδ, Ἀβιοὺδ δὲ ἐγέννησεν τὸν Ἐλιακίμ, Ἐλιακὶμ δὲ ἐγέννησεν τὸν Ἀζώρ,	Ζοροβαβέλ δέ γεννάω ὁ Ἀβιούδ Ἀβιούδ δέ γεννάω ὁ Ἐλιακίμ Ἐλιακίμ δέ γεννάω ὁ Ἀζώρ
Matthew	1	14	Ἀζὼρ δὲ ἐγέννησεν τὸν Σαδώκ, Σαδὼκ δὲ ἐγέννησεν τὸν Ἀχίμ, Ἀχὶμ δὲ ἐγέννησεν τὸν Ἐλιούδ,	Ἀζώρ δέ γεννάω ὁ Σαδώκ Σαδώκ δέ γεννάω ὁ Ἀχίμ Ἀχίμ δέ γεννάω ὁ Ἐλιούδ
Matthew	1	15	Ἐλιοὺδ δὲ ἐγέννησεν τὸν Ἐλεάζαρ, Ἐλεάζαρ δὲ ἐγέννησεν τὸν Ματθάν, Ματθὰν δὲ ἐγέννησεν τὸν Ἰακώβ,	Ἐλιούδ δέ γεννάω ὁ Ἐλεάζαρ Ἐλεάζαρ δέ γεννάω ὁ Ματθάν Ματθάν δέ γεννάω ὁ Ἰακώβ
Matthew	1	16	Ἰακὼβ δὲ ἐγέννησεν τὸν Ἰωσὴφ τὸν ἄνδρα Μαρίας, ἐξ ἧς ἐγεννήθη Ἰησοῦς ὁ λεγόμενος χριστός.	Ἰακώβ δέ γεννάω ὁ Ἰωσήφ ὁ ἀνήρ Μαρία ἐκ ὅς γεννάω Ἰησοῦς ὁ λέγω Χριστός
Matthew	1	17	Πᾶσαι οὖν αἱ γενεαὶ ἀπὸ Ἀβραὰμ ἕως Δαυὶδ γενεαὶ δεκατέσσαρες, καὶ ἀπὸ Δαυὶδ ἕως τῆς μετοικεσίας Βαβυλῶνος γενεαὶ δεκατέσσαρες, καὶ ἀπὸ τῆς μετοικεσίας Βαβυλῶνος ἕως τοῦ χριστοῦ γενεαὶ δεκατέσσαρες.	πᾶς οὖν ὁ γενεά ἀπό Ἀβραάμ ἕως Δαυίδ γενεά δεκατέσσαρες καί ἀπό Δαυίδ ἕως ὁ μετοικεσία Βαβυλών γενεά δεκατέσσαρες καί ἀπό ὁ μετοικεσία Βαβυλών ἕως ὁ Χριστός γενεά δεκατέσσαρες
Matthew	1	18	Τοῦ δὲ ⸀Ἰησοῦ χριστοῦ ἡ ⸀γένεσις οὕτως ἦν. ⸀μνηστευθείσης τῆς μητρὸς αὐτοῦ Μαρίας τῷ Ἰωσήφ, πρὶν ἢ συνελθεῖν αὐτοὺς εὑρέθη ἐν γαστρὶ ἔχουσα ἐκ πνεύματος ἁγίου.	ὁ δέ Ἰησοῦς Χριστός ὁ γένεσις οὕτω(ς) εἰμί μνηστεύομαι ὁ μήτηρ αὐτός Μαρία ὁ Ἰωσήφ πρίν ἤ συνέρχομαι αὐτός εὑρίσκω ἐν γαστήρ ἔχω ἐκ πνεῦμα ἅγιος
Matthew	1	19	Ἰωσὴφ δὲ ὁ ἀνὴρ αὐτῆς, δίκαιος ὢν καὶ μὴ θέλων αὐτὴν ⸀δειγματίσαι, ἐβουλήθη λάθρᾳ ἀπολῦσαι αὐτήν.	Ἰωσήφ δέ ὁ ἀνήρ αὐτός δίκαιος εἰμί καί μή θέλω αὐτός δειγματίζω βούλομαι λάθρᾳ ἀπολύω αὐτός
Matthew	1	20	ταῦτα δὲ αὐτοῦ ἐνθυμηθέντος ἰδοὺ ἄγγελος κυρίου κατ’ ὄναρ ἐφάνη αὐτῷ λέγων· Ἰωσὴφ υἱὸς Δαυίδ, μὴ φοβηθῇς παραλαβεῖν ⸀Μαρίαν τὴν γυναῖκά σου, τὸ γὰρ ἐν αὐτῇ γεννηθὲν ἐκ πνεύματός ἐστιν ἁγίου·	οὗτος δέ αὐτός ἐνθυμέομαι ἰδού ἄγγελος κύριος κατά ὄναρ φαίνω αὐτός λέγω Ἰωσήφ υἱός Δαυίδ μή φοβέομαι παραλαμβάνω Μαρία ὁ γυνή σύ ὁ γάρ ἐν αὐτός γεννάω ἐκ πνεῦμα εἰμί ἅγιος
Matthew	1	21	τέξεται δὲ υἱὸν καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν, αὐτὸς γὰρ σώσει τὸν λαὸν αὐτοῦ ἀπὸ τῶν ἁμαρτιῶν αὐτῶν.	τίκτω δέ υἱός καί καλέω ὁ ὄνομα αὐτός Ἰησοῦς αὐτός γάρ σῴζω ὁ λαός αὐτός ἀπό ὁ ἁμαρτία αὐτός
Matthew	1	22	τοῦτο δὲ ὅλον γέγονεν ἵνα πληρωθῇ τὸ ῥηθὲν ⸀ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος·	οὗτος δέ ὅλος γίνομαι ἵνα πληρόω ὁ λέγω ὑπό κύριος διά ὁ προφήτης λέγω
Matthew	1	23	Ἰδοὺ ἡ παρθένος ἐν γαστρὶ ἕξει καὶ τέξεται υἱόν, καὶ καλέσουσιν τὸ ὄνομα αὐτοῦ Ἐμμανουήλ· ὅ ἐστιν μεθερμηνευόμενον Μεθ’ ἡμῶν ὁ θεός.	ἰδού ὁ παρθένος ἐν γαστήρ ἔχω καί τίκτω υἱός καί καλέω ὁ ὄνομα αὐτός Ἐμμανουήλ ὅς εἰμί μεθερμηνεύω μετά ἐγώ ὁ θεός
Matthew	1	24	⸀ἐγερθεὶς δὲ ὁ Ἰωσὴφ ἀπὸ τοῦ ὕπνου ἐποίησεν ὡς προσέταξεν αὐτῷ ὁ ἄγγελος κυρίου καὶ παρέλαβεν τὴν γυναῖκα αὐτοῦ·	ἐγείρω δέ ὁ Ἰωσήφ ἀπό ὁ ὕπνος ποιέω ὡς προστάσσω αὐτός ὁ ἄγγελος κύριος καί παραλαμβάνω ὁ γυνή αὐτός
Matthew	1	25	καὶ οὐκ ἐγίνωσκεν αὐτὴν ἕως οὗ ἔτεκεν ⸀υἱόν· καὶ ἐκάλεσεν τὸ ὄνομα αὐτοῦ Ἰησοῦν.	καί οὐ γινώσκω αὐτός ἕως ὅς τίκτω υἱός καί καλέω ὁ ὄνομα αὐτός Ἰησοῦς
Matthew	2	1	Τοῦ δὲ Ἰησοῦ γεννηθέντος ἐν Βηθλέεμ τῆς Ἰουδαίας ἐν ἡμέραις Ἡρῴδου τοῦ βασιλέως, ἰδοὺ μάγοι ἀπὸ ἀνατολῶν παρεγένοντο εἰς Ἱεροσόλυμα	ὁ δέ Ἰησοῦς γεννάω ἐν Βηθλέεμ ὁ Ἰουδαία ἐν ἡμέρα Ἡρῴδης ὁ βασιλεύς ἰδού μάγος ἀπό ἀνατολή παραγίνομαι εἰς Ἱεροσόλυμα
Matthew	2	2	λέγοντες· Ποῦ ἐστιν ὁ τεχθεὶς βασιλεὺς τῶν Ἰουδαίων; εἴδομεν γὰρ αὐτοῦ τὸν ἀστέρα ἐν τῇ ἀνατολῇ καὶ ἤλθομεν προσκυνῆσαι αὐτῷ.	λέγω ποῦ εἰμί ὁ τίκτω βασιλεύς ὁ Ἰουδαῖος ὁράω γάρ αὐτός ὁ ἀστήρ ἐν ὁ ἀνατολή καί ἔρχομαι προσκυνέω αὐτός
Matthew	2	3	ἀκούσας δὲ ⸂ὁ βασιλεὺς Ἡρῴδης⸃ ἐταράχθη καὶ πᾶσα Ἱεροσόλυμα μετ’ αὐτοῦ,	ἀκούω δέ ὁ βασιλεύς Ἡρῴδης ταράσσω καί πᾶς Ἱεροσόλυμα μετά αὐτός
Matthew	2	4	καὶ συναγαγὼν πάντας τοὺς ἀρχιερεῖς καὶ γραμματεῖς τοῦ λαοῦ ἐπυνθάνετο παρ’ αὐτῶν ποῦ ὁ χριστὸς γεννᾶται.	καί συνάγω πᾶς ὁ ἀρχιερεύς καί γραμματεύς ὁ λαός πυνθάνομαι παρά αὐτός ποῦ ὁ Χριστός γεννάω
Matthew	2	5	οἱ δὲ εἶπαν αὐτῷ· Ἐν Βηθλέεμ τῆς Ἰουδαίας· οὕτως γὰρ γέγραπται διὰ τοῦ προφήτου·	ὁ δέ λέγω αὐτός ἐν Βηθλέεμ ὁ Ἰουδαία οὕτω(ς) γάρ γράφω διά ὁ προφήτης
Matthew	2	6	Καὶ σύ, Βηθλέεμ γῆ Ἰούδα, οὐδαμῶς ἐλαχίστη εἶ ἐν τοῖς ἡγεμόσιν Ἰούδα· ἐκ σοῦ γὰρ ἐξελεύσεται ἡγούμενος, ὅστις ποιμανεῖ τὸν λαόν μου τὸν Ἰσραήλ.	καί σύ Βηθλέεμ γῆ Ἰούδας οὐδαμῶς ἐλάχιστος εἰμί ἐν ὁ ἡγεμών Ἰούδας ἐκ σύ γάρ ἐξέρχομαι ἡγέομαι ὅστις ποιμαίνω ὁ λαός ἐγώ ὁ Ἰσραήλ
Matthew	2	7	Τότε Ἡρῴδης λάθρᾳ καλέσας τοὺς μάγους ἠκρίβωσεν παρ’ αὐτῶν τὸν χρόνον τοῦ φαινομένου ἀστέρος,	τότε Ἡρῴδης λάθρᾳ καλέω ὁ μάγος ἀκριβόω παρά αὐτός ὁ χρόνος ὁ φαίνω ἀστήρ
Matthew	2	8	καὶ πέμψας αὐτοὺς εἰς Βηθλέεμ εἶπεν· Πορευθέντες ⸂ἐξετάσατε ἀκριβῶς⸃ περὶ τοῦ παιδίου· ἐπὰν δὲ εὕρητε, ἀπαγγείλατέ μοι, ὅπως κἀγὼ ἐλθὼν προσκυνήσω αὐτῷ.	καί πέμπω αὐτός εἰς Βηθλέεμ λέγω πορεύομαι ἐξετάζω ἀκριβῶς περί ὁ παιδίον ἐπάν δέ εὑρίσκω ἀπαγγέλλω ἐγώ ὅπως κἀγώ ἔρχομαι προσκυνέω αὐτός
Matthew	2	9	οἱ δὲ ἀκούσαντες τοῦ βασιλέως ἐπορεύθησαν, καὶ ἰδοὺ ὁ ἀστὴρ ὃν εἶδον ἐν τῇ ἀνατολῇ προῆγεν αὐτούς, ἕως ἐλθὼν ⸀ἐστάθη ἐπάνω οὗ ἦν τὸ παιδίον.	ὁ δέ ἀκούω ὁ βασιλεύς πορεύομαι καί ἰδού ὁ ἀστήρ ὅς ὁράω ἐν ὁ ἀνατολή προάγω αὐτός ἕως ἔρχομαι ἵστημι ἐπάνω οὗ εἰμί ὁ παιδίον
Matthew	2	10	ἰδόντες δὲ τὸν ἀστέρα ἐχάρησαν χαρὰν μεγάλην σφόδρα.	ὁράω δέ ὁ ἀστήρ χαίρω χαρά μέγας σφόδρα
Matthew	2	11	καὶ ἐλθόντες εἰς τὴν οἰκίαν εἶδον τὸ παιδίον μετὰ Μαρίας τῆς μητρὸς αὐτοῦ, καὶ πεσόντες προσεκύνησαν αὐτῷ, καὶ ἀνοίξαντες τοὺς θησαυροὺς αὐτῶν προσήνεγκαν αὐτῷ δῶρα, χρυσὸν καὶ λίβανον καὶ σμύρναν.	καί ἔρχομαι εἰς ὁ οἰκία ὁράω ὁ παιδίον μετά Μαρία ὁ μήτηρ αὐτός καί πίπτω προσκυνέω αὐτός καί ἀνοίγω ὁ θησαυρός αὐτός προσφέρω αὐτός δῶρον χρυσός καί λίβανος καί σμύρνα
Matthew	2	12	καὶ χρηματισθέντες κατ’ ὄναρ μὴ ἀνακάμψαι πρὸς Ἡρῴδην δι’ ἄλλης ὁδοῦ ἀνεχώρησαν εἰς τὴν χώραν αὐτῶν.	καί χρηματίζω κατά ὄναρ μή ἀνακάμπτω πρός Ἡρῴδης διά ἄλλος ὁδός ἀναχωρέω εἰς ὁ χώρα αὐτός
Matthew	2	13	Ἀναχωρησάντων δὲ αὐτῶν ἰδοὺ ἄγγελος κυρίου ⸂φαίνεται κατ’ ὄναρ⸃ τῷ Ἰωσὴφ λέγων· Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ φεῦγε εἰς Αἴγυπτον, καὶ ἴσθι ἐκεῖ ἕως ἂν εἴπω σοι· μέλλει γὰρ Ἡρῴδης ζητεῖν τὸ παιδίον τοῦ ἀπολέσαι αὐτό.	ἀναχωρέω δέ αὐτός ἰδού ἄγγελος κύριος φαίνω κατά ὄναρ ὁ Ἰωσήφ λέγω ἐγείρω παραλαμβάνω ὁ παιδίον καί ὁ μήτηρ αὐτός καί φεύγω εἰς Αἴγυπτος καί εἰμί ἐκεῖ ἕως ἄν λέγω σύ μέλλω γάρ Ἡρῴδης ζητέω ὁ παιδίον ὁ ἀπόλλυμι αὐτός
Matthew	2	14	ὁ δὲ ἐγερθεὶς παρέλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ νυκτὸς καὶ ἀνεχώρησεν εἰς Αἴγυπτον,	ὁ δέ ἐγείρω παραλαμβάνω ὁ παιδίον καί ὁ μήτηρ αὐτός νύξ καί ἀναχωρέω εἰς Αἴγυπτος
Matthew	2	15	καὶ ἦν ἐκεῖ ἕως τῆς τελευτῆς Ἡρῴδου· ἵνα πληρωθῇ τὸ ῥηθὲν ⸀ὑπὸ κυρίου διὰ τοῦ προφήτου λέγοντος· Ἐξ Αἰγύπτου ἐκάλεσα τὸν υἱόν μου.	καί εἰμί ἐκεῖ ἕως ὁ τελευτή Ἡρῴδης ἵνα πληρόω ὁ λέγω ὑπό κύριος διά ὁ προφήτης λέγω ἐκ Αἴγυπτος καλέω ὁ υἱός ἐγώ
Matthew	2	16	Τότε Ἡρῴδης ἰδὼν ὅτι ἐνεπαίχθη ὑπὸ τῶν μάγων ἐθυμώθη λίαν, καὶ ἀποστείλας ἀνεῖλεν πάντας τοὺς παῖδας τοὺς ἐν Βηθλέεμ καὶ ἐν πᾶσι τοῖς ὁρίοις αὐτῆς ἀπὸ διετοῦς καὶ κατωτέρω, κατὰ τὸν χρόνον ὃν ἠκρίβωσεν παρὰ τῶν μάγων.	τότε Ἡρῴδης ὁράω ὅτι ἐμπαίζω ὑπό ὁ μάγος θυμόομαι λίαν καί ἀποστέλλω ἀναιρέω πᾶς ὁ παῖς ὁ ἐν Βηθλέεμ καί ἐν πᾶς ὁ ὅριον αὐτός ἀπό διετής καί κατωτέρω κατά ὁ χρόνος ὅς ἀκριβόω παρά ὁ μάγος
Matthew	2	17	τότε ἐπληρώθη τὸ ῥηθὲν ⸀διὰ Ἰερεμίου τοῦ προφήτου λέγοντος·	τότε πληρόω ὁ λέγω διά Ἰερεμίας ὁ προφήτης λέγω
Matthew	2	18	Φωνὴ ἐν Ῥαμὰ ⸀ἠκούσθη, κλαυθμὸς καὶ ὀδυρμὸς πολύς· Ῥαχὴλ κλαίουσα τὰ τέκνα αὐτῆς, καὶ οὐκ ἤθελεν παρακληθῆναι ὅτι οὐκ εἰσίν.	φωνή ἐν Ῥαμά ἀκούω κλαυθμός καί ὀδυρμός πολύς Ῥαχήλ κλαίω ὁ τέκνον αὐτός καί οὐ θέλω παρακαλέω ὅτι οὐ εἰμί
Matthew	2	19	Τελευτήσαντος δὲ τοῦ Ἡρῴδου ἰδοὺ ἄγγελος κυρίου ⸂φαίνεται κατ’ ὄναρ⸃ τῷ Ἰωσὴφ ἐν Αἰγύπτῳ	τελευτάω δέ ὁ Ἡρῴδης ἰδού ἄγγελος κύριος φαίνω κατά ὄναρ ὁ Ἰωσήφ ἐν Αἴγυπτος
Matthew	2	20	λέγων· Ἐγερθεὶς παράλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ πορεύου εἰς γῆν Ἰσραήλ, τεθνήκασιν γὰρ οἱ ζητοῦντες τὴν ψυχὴν τοῦ παιδίου.	λέγω ἐγείρω παραλαμβάνω ὁ παιδίον καί ὁ μήτηρ αὐτός καί πορεύομαι εἰς γῆ Ἰσραήλ θνῄσκω γάρ ὁ ζητέω ὁ ψυχή ὁ παιδίον
Matthew	2	21	ὁ δὲ ἐγερθεὶς παρέλαβε τὸ παιδίον καὶ τὴν μητέρα αὐτοῦ καὶ ⸀εἰσῆλθεν εἰς γῆν Ἰσραήλ.	ὁ δέ ἐγείρω παραλαμβάνω ὁ παιδίον καί ὁ μήτηρ αὐτός καί εἰσέρχομαι εἰς γῆ Ἰσραήλ
Matthew	2	22	ἀκούσας δὲ ὅτι Ἀρχέλαος ⸀βασιλεύει τῆς Ἰουδαίας ἀντὶ ⸂τοῦ πατρὸς αὐτοῦ Ἡρῴδου⸃ ἐφοβήθη ἐκεῖ ἀπελθεῖν· χρηματισθεὶς δὲ κατ’ ὄναρ ἀνεχώρησεν εἰς τὰ μέρη τῆς Γαλιλαίας,	ἀκούω δέ ὅτι Ἀρχέλαος βασιλεύω ὁ Ἰουδαία ἀντί ὁ πατήρ αὐτός Ἡρῴδης φοβέομαι ἐκεῖ ἀπέρχομαι χρηματίζω δέ κατά ὄναρ ἀναχωρέω εἰς ὁ μέρος ὁ Γαλιλαία
Matthew	2	23	καὶ ἐλθὼν κατῴκησεν εἰς πόλιν λεγομένην Ναζαρέτ, ὅπως πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν ὅτι Ναζωραῖος κληθήσεται.	καί ἔρχομαι κατοικέω εἰς πόλις λέγω Ναζαρέτ ὅπως πληρόω ὁ λέγω διά ὁ προφήτης ὅτι Ναζωραῖος καλέω
Matthew	3	1	Ἐν δὲ ταῖς ἡμέραις ἐκείναις παραγίνεται Ἰωάννης ὁ βαπτιστὴς κηρύσσων ἐν τῇ ἐρήμῳ τῆς Ἰουδαίας	ἐν δέ ὁ ἡμέρα ἐκεῖνος παραγίνομαι Ἰωάννης ὁ βαπτιστής κηρύσσω ἐν ὁ ἔρημος ὁ Ἰουδαία
Matthew	3	2	⸀καὶ λέγων· Μετανοεῖτε, ἤγγικεν γὰρ ἡ βασιλεία τῶν οὐρανῶν.	καί λέγω μετανοέω ἐγγίζω γάρ ὁ βασιλεία ὁ οὐρανός
Matthew	3	3	οὗτος γάρ ἐστιν ὁ ῥηθεὶς ⸀διὰ Ἠσαΐου τοῦ προφήτου λέγοντος· Φωνὴ βοῶντος ἐν τῇ ἐρήμῳ· Ἑτοιμάσατε τὴν ὁδὸν κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ.	οὗτος γάρ εἰμί ὁ λέγω διά Ἠσαΐας ὁ προφήτης λέγω φωνή βοάω ἐν ὁ ἔρημος ἑτοιμάζω ὁ ὁδός κύριος εὐθύς ποιέω ὁ τρίβος αὐτός
Matthew	3	4	αὐτὸς δὲ ὁ Ἰωάννης εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ, ἡ δὲ τροφὴ ⸂ἦν αὐτοῦ⸃ ἀκρίδες καὶ μέλι ἄγριον.	αὐτός δέ ὁ Ἰωάννης ἔχω ὁ ἔνδυμα αὐτός ἀπό θρίξ κάμηλος καί ζώνη δερμάτινος περί ὁ ὀσφύς αὐτός ὁ δέ τροφή εἰμί αὐτός ἀκρίς καί μέλι ἄγριος
Matthew	3	5	τότε ἐξεπορεύετο πρὸς αὐτὸν Ἱεροσόλυμα καὶ πᾶσα ἡ Ἰουδαία καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου,	τότε ἐκπορεύομαι πρός αὐτός Ἱεροσόλυμα καί πᾶς ὁ Ἰουδαία καί πᾶς ὁ περίχωρος ὁ Ἰορδάνης
Matthew	3	6	καὶ ἐβαπτίζοντο ἐν τῷ Ἰορδάνῃ ⸀ποταμῷ ὑπ’ αὐτοῦ ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν.	καί βαπτίζω ἐν ὁ Ἰορδάνης ποταμός ὑπό αὐτός ἐξομολογέω ὁ ἁμαρτία αὐτός
Matthew	3	7	Ἰδὼν δὲ πολλοὺς τῶν Φαρισαίων καὶ Σαδδουκαίων ἐρχομένους ἐπὶ τὸ βάπτισμα ⸀αὐτοῦ εἶπεν αὐτοῖς· Γεννήματα ἐχιδνῶν, τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς;	ὁράω δέ πολύς ὁ Φαρισαῖος καί Σαδδουκαῖος ἔρχομαι ἐπί ὁ βάπτισμα αὐτός λέγω αὐτός γέννημα ἔχιδνα τίς ὑποδείκνυμι σύ φεύγω ἀπό ὁ μέλλω ὀργή
Matthew	3	8	ποιήσατε οὖν καρπὸν ἄξιον τῆς μετανοίας	ποιέω οὖν καρπός ἄξιος ὁ μετάνοια
Matthew	3	9	καὶ μὴ δόξητε λέγειν ἐν ἑαυτοῖς· Πατέρα ἔχομεν τὸν Ἀβραάμ, λέγω γὰρ ὑμῖν ὅτι δύναται ὁ θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ.	καί μή δοκέω λέγω ἐν ἑαυτοῦ πατήρ ἔχω ὁ Ἀβραάμ λέγω γάρ σύ ὅτι δύναμαι ὁ θεός ἐκ ὁ λίθος οὗτος ἐγείρω τέκνον ὁ Ἀβραάμ
Matthew	3	10	ἤδη ⸀δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται· πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται.	ἤδη δέ ὁ ἀξίνη πρός ὁ ῥίζα ὁ δένδρον κεῖμαι πᾶς οὖν δένδρον μή ποιέω καρπός καλός ἐκκόπτω καί εἰς πῦρ βάλλω
Matthew	3	11	Ἐγὼ μὲν ⸂ὑμᾶς βαπτίζω⸃ ἐν ὕδατι εἰς μετάνοιαν· ὁ δὲ ὀπίσω μου ἐρχόμενος ἰσχυρότερός μού ἐστιν, οὗ οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι· αὐτὸς ὑμᾶς βαπτίσει ἐν πνεύματι ἁγίῳ ⸂καὶ πυρί⸃·	ἐγώ μέν σύ βαπτίζω ἐν ὕδωρ εἰς μετάνοια ὁ δέ ὀπίσω ἐγώ ἔρχομαι ἰσχυρός ἐγώ εἰμί ὅς οὐ εἰμί ἱκανός ὁ ὑπόδημα βαστάζω αὐτός σύ βαπτίζω ἐν πνεῦμα ἅγιος καί πῦρ
Matthew	3	12	οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ, καὶ διακαθαριεῖ τὴν ἅλωνα αὐτοῦ καὶ συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ⸀ἀποθήκην, τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ.	ὅς ὁ πτύον ἐν ὁ χείρ αὐτός καί διακαθαρίζω ὁ ἅλων αὐτός καί συνάγω ὁ σῖτος αὐτός εἰς ὁ ἀποθήκη ὁ δέ ἄχυρον κατακαίω πῦρ ἄσβεστος
